alabaster
apricot
aqua
aquamarine
ash gray
azure
beige
black
blond
blue
blue green
blush
bone
bottle green
brick red
bronze
brown
brownish yellow
burnt sienna
burgundy
buff
burnt umber
cadmium orange
cadmium yellow
cadmium yellow pale
canary
caramel
cardinal
carmine
carnation
cerise
cerulean
chalk
charcoal
cherry
chestnut
chocolate
chrome green
chrome red
chrome yellow
claret
coal black
cobalt blue
cobalt ultramarine
coffee
copper
coral
crimson
dapple-gray
dark
dark blue
dark red
Davy's gray
deep brown
deep red
dithered color
drab
dun
ebony
ecru
emerald
fawn
mehendi
French blue
French ultramarine
frostiness
fuchsia
gamboge
gray
grayish brown
green
greenish blue
greenish yellow
hazel
heather
henna
hoariness
Hooker's green
Indian red
indigo
iron blue
iron-gray
ivory
ivory black
jade
jade green
jet black
Kendal green
lake
lac dye
lavender
lazuline
lemon
light brown
magenta
mahogany
maize
marble
maroon
mauve
mocha
mosaic gold
mottle
navy
navy blue
ocher
off-white
old gold
old rose
olive
olive brown
olive drab
olive green
orange
orange red
orange yellow
oxblood red
oxford gray
pale yellow
Paris green
pastel
Payne's gray
peach
peacock blue
pea green
pearl
peroxide
pitch black
pink
powder blue
Prussian blue
puce
purple
purplish blue
purplish pink
purplish red
raw sienna
raw umber
red
reddish blue
reddish brown
reddish orange
reddish purple
rosiness
royal blue
royal purple
ruddiness
sable
saffron
sage green
salmon
sanguine
sapphire
scarlet
sea green
sepia
sienna
silver gray
sky-blue
snuff-color
soot black
steel blue
steel gray
straw
tan
tangerine
tattletale gray
taupe
tawniness
teal
tie-dye
topaz
Turkey red
turquoise
Tyrian purple
ultramarine
umber
Vandyke brown
Venetian red
verdigris
vermilion
violet
viridity
wheat
white
Windsor green
wine
yellow
yellow green
yellowish brown
yellowish green
yellowish pink
yellow ocher
zinc white
orchil
red
crimson
puce
scarlet
vermilion
orange
yellow-orange
orange-yellow
lemon yellow
ocher
green-yellow
yellow-green
chartreuse
green
blue-green (aqua-marine)
green-blue
teal
sky blue  (baby blue)
blue
royal blue (ultramarine)
midnight blue
violet-blue
blue-violet
violet
purple
magenta (fuchsia)
lavender
mauve
pink
hot pink
peach (flesh color)
golden rod
khaki
brown
caramel color (tan)
maroon
forest green
beige
cream
color
light gray
slate gray
medium gray
dark gray
black
red
crimson
puce
scarlet
vermilion
orange
yellow-orange
orange-yellow
lemon yellow
ocher
green-yellow
yellow-green
chartreuse
green
blue-green
green-blue
teal
sky blue
blue
royal blue
midnight blue
violet-blue
blue-violet
violet
purple
magenta
lavender
mauve
pink
hot pink
peach
golden rod
khaki
brown
caramel color
maroon
forest green
beige
cream
color
light gray
slate gray
medium gray
dark gray
black
grey
firozi
